0: 0 1 2 3 4
9: 0 1 2 4 3
3: 0 1 3 2 4
6: 0 1 3 4 2
6: 0 1 4 2 3
3: 0 1 4 3 2
9: 0 2 1 3 4
12: 0 2 1 4 3
6: 0 2 3 1 4
15: 0 2 3 4 1
9: 0 2 4 1 3
12: 0 2 4 3 1
6: 0 3 1 2 4
9: 0 3 1 4 2
3: 0 3 2 1 4
12: 0 3 2 4 1
6: 0 3 4 1 2
9: 0 3 4 2 1
15: 0 4 1 2 3
12: 0 4 1 3 2
12: 0 4 2 1 3
15: 0 4 2 3 1
9: 0 4 3 1 2
18: 0 4 3 2 1
3: 1 0 2 3 4
12: 1 0 2 4 3
6: 1 0 3 2 4
9: 1 0 3 4 2
9: 1 0 4 2 3
6: 1 0 4 3 2
6: 1 2 0 3 4
15: 1 2 0 4 3
9: 1 2 3 0 4
12: 1 2 3 4 0
12: 1 2 4 0 3
9: 1 2 4 3 0
9: 1 3 0 2 4
12: 1 3 0 4 2
6: 1 3 2 0 4
15: 1 3 2 4 0
9: 1 3 4 0 2
12: 1 3 4 2 0
12: 1 4 0 2 3
9: 1 4 0 3 2
15: 1 4 2 0 3
12: 1 4 2 3 0
12: 1 4 3 0 2
15: 1 4 3 2 0
6: 2 0 1 3 4
15: 2 0 1 4 3
9: 2 0 3 1 4
12: 2 0 3 4 1
12: 2 0 4 1 3
9: 2 0 4 3 1
3: 2 1 0 3 4
12: 2 1 0 4 3
6: 2 1 3 0 4
9: 2 1 3 4 0
9: 2 1 4 0 3
6: 2 1 4 3 0
6: 2 3 0 1 4
15: 2 3 0 4 1
9: 2 3 1 0 4
12: 2 3 1 4 0
12: 2 3 4 0 1
9: 2 3 4 1 0
15: 2 4 0 1 3
18: 2 4 0 3 1
18: 2 4 1 0 3
15: 2 4 1 3 0
15: 2 4 3 0 1
12: 2 4 3 1 0
9: 3 0 1 2 4
12: 3 0 1 4 2
6: 3 0 2 1 4
15: 3 0 2 4 1
9: 3 0 4 1 2
12: 3 0 4 2 1
6: 3 1 0 2 4
9: 3 1 0 4 2
9: 3 1 2 0 4
12: 3 1 2 4 0
12: 3 1 4 0 2
9: 3 1 4 2 0
9: 3 2 0 1 4
18: 3 2 0 4 1
12: 3 2 1 0 4
15: 3 2 1 4 0
15: 3 2 4 0 1
12: 3 2 4 1 0
12: 3 4 0 1 2
15: 3 4 0 2 1
15: 3 4 1 0 2
18: 3 4 1 2 0
18: 3 4 2 0 1
15: 3 4 2 1 0
12: 4 0 1 2 3
9: 4 0 1 3 2
15: 4 0 2 1 3
12: 4 0 2 3 1
12: 4 0 3 1 2
15: 4 0 3 2 1
9: 4 1 0 2 3
6: 4 1 0 3 2
12: 4 1 2 0 3
9: 4 1 2 3 0
9: 4 1 3 0 2
12: 4 1 3 2 0
12: 4 2 0 1 3
15: 4 2 0 3 1
15: 4 2 1 0 3
12: 4 2 1 3 0
18: 4 2 3 0 1
15: 4 2 3 1 0
9: 4 3 0 1 2
12: 4 3 0 2 1
12: 4 3 1 0 2
15: 4 3 1 2 0
15: 4 3 2 0 1
12: 4 3 2 1 0
