0: 0 1 2 3 4 5
3: 0 1 2 3 5 4
9: 0 1 2 4 3 5
6: 0 1 2 4 5 3
6: 0 1 2 5 3 4
3: 0 1 2 5 4 3
3: 0 1 3 2 4 5
6: 0 1 3 2 5 4
6: 0 1 3 4 2 5
9: 0 1 3 4 5 2
9: 0 1 3 5 2 4
6: 0 1 3 5 4 2
6: 0 1 4 2 3 5
9: 0 1 4 2 5 3
3: 0 1 4 3 2 5
6: 0 1 4 3 5 2
6: 0 1 4 5 2 3
9: 0 1 4 5 3 2
9: 0 1 5 2 3 4
6: 0 1 5 2 4 3
6: 0 1 5 3 2 4
9: 0 1 5 3 4 2
9: 0 1 5 4 2 3
12: 0 1 5 4 3 2
9: 0 2 1 3 4 5
12: 0 2 1 3 5 4
12: 0 2 1 4 3 5
15: 0 2 1 4 5 3
15: 0 2 1 5 3 4
12: 0 2 1 5 4 3
6: 0 2 3 1 4 5
9: 0 2 3 1 5 4
15: 0 2 3 4 1 5
12: 0 2 3 4 5 1
12: 0 2 3 5 1 4
9: 0 2 3 5 4 1
9: 0 2 4 1 3 5
12: 0 2 4 1 5 3
12: 0 2 4 3 1 5
15: 0 2 4 3 5 1
15: 0 2 4 5 1 3
12: 0 2 4 5 3 1
12: 0 2 5 1 3 4
9: 0 2 5 1 4 3
15: 0 2 5 3 1 4
12: 0 2 5 3 4 1
18: 0 2 5 4 1 3
15: 0 2 5 4 3 1
6: 0 3 1 2 4 5
9: 0 3 1 2 5 4
9: 0 3 1 4 2 5
12: 0 3 1 4 5 2
12: 0 3 1 5 2 4
9: 0 3 1 5 4 2
3: 0 3 2 1 4 5
6: 0 3 2 1 5 4
12: 0 3 2 4 1 5
9: 0 3 2 4 5 1
9: 0 3 2 5 1 4
6: 0 3 2 5 4 1
6: 0 3 4 1 2 5
9: 0 3 4 1 5 2
9: 0 3 4 2 1 5
12: 0 3 4 2 5 1
12: 0 3 4 5 1 2
9: 0 3 4 5 2 1
9: 0 3 5 1 2 4
12: 0 3 5 1 4 2
12: 0 3 5 2 1 4
9: 0 3 5 2 4 1
15: 0 3 5 4 1 2
12: 0 3 5 4 2 1
15: 0 4 1 2 3 5
12: 0 4 1 2 5 3
12: 0 4 1 3 2 5
15: 0 4 1 3 5 2
15: 0 4 1 5 2 3
18: 0 4 1 5 3 2
12: 0 4 2 1 3 5
9: 0 4 2 1 5 3
15: 0 4 2 3 1 5
12: 0 4 2 3 5 1
18: 0 4 2 5 1 3
15: 0 4 2 5 3 1
9: 0 4 3 1 2 5
12: 0 4 3 1 5 2
18: 0 4 3 2 1 5
15: 0 4 3 2 5 1
15: 0 4 3 5 1 2
12: 0 4 3 5 2 1
12: 0 4 5 1 2 3
15: 0 4 5 1 3 2
15: 0 4 5 2 1 3
18: 0 4 5 2 3 1
18: 0 4 5 3 1 2
15: 0 4 5 3 2 1
12: 0 5 1 2 3 4
9: 0 5 1 2 4 3
15: 0 5 1 3 2 4
12: 0 5 1 3 4 2
12: 0 5 1 4 2 3
15: 0 5 1 4 3 2
9: 0 5 2 1 3 4
6: 0 5 2 1 4 3
12: 0 5 2 3 1 4
9: 0 5 2 3 4 1
15: 0 5 2 4 1 3
12: 0 5 2 4 3 1
12: 0 5 3 1 2 4
9: 0 5 3 1 4 2
15: 0 5 3 2 1 4
12: 0 5 3 2 4 1
18: 0 5 3 4 1 2
15: 0 5 3 4 2 1
9: 0 5 4 1 2 3
12: 0 5 4 1 3 2
12: 0 5 4 2 1 3
15: 0 5 4 2 3 1
15: 0 5 4 3 1 2
12: 0 5 4 3 2 1
3: 1 0 2 3 4 5
6: 1 0 2 3 5 4
12: 1 0 2 4 3 5
9: 1 0 2 4 5 3
9: 1 0 2 5 3 4
6: 1 0 2 5 4 3
6: 1 0 3 2 4 5
9: 1 0 3 2 5 4
9: 1 0 3 4 2 5
12: 1 0 3 4 5 2
12: 1 0 3 5 2 4
9: 1 0 3 5 4 2
9: 1 0 4 2 3 5
12: 1 0 4 2 5 3
6: 1 0 4 3 2 5
9: 1 0 4 3 5 2
9: 1 0 4 5 2 3
12: 1 0 4 5 3 2
12: 1 0 5 2 3 4
9: 1 0 5 2 4 3
9: 1 0 5 3 2 4
12: 1 0 5 3 4 2
12: 1 0 5 4 2 3
15: 1 0 5 4 3 2
6: 1 2 0 3 4 5
9: 1 2 0 3 5 4
15: 1 2 0 4 3 5
12: 1 2 0 4 5 3
12: 1 2 0 5 3 4
9: 1 2 0 5 4 3
9: 1 2 3 0 4 5
12: 1 2 3 0 5 4
12: 1 2 3 4 0 5
15: 1 2 3 4 5 0
15: 1 2 3 5 0 4
12: 1 2 3 5 4 0
12: 1 2 4 0 3 5
15: 1 2 4 0 5 3
9: 1 2 4 3 0 5
12: 1 2 4 3 5 0
12: 1 2 4 5 0 3
15: 1 2 4 5 3 0
15: 1 2 5 0 3 4
12: 1 2 5 0 4 3
12: 1 2 5 3 0 4
15: 1 2 5 3 4 0
15: 1 2 5 4 0 3
18: 1 2 5 4 3 0
9: 1 3 0 2 4 5
12: 1 3 0 2 5 4
12: 1 3 0 4 2 5
15: 1 3 0 4 5 2
15: 1 3 0 5 2 4
12: 1 3 0 5 4 2
6: 1 3 2 0 4 5
9: 1 3 2 0 5 4
15: 1 3 2 4 0 5
12: 1 3 2 4 5 0
12: 1 3 2 5 0 4
9: 1 3 2 5 4 0
9: 1 3 4 0 2 5
12: 1 3 4 0 5 2
12: 1 3 4 2 0 5
15: 1 3 4 2 5 0
15: 1 3 4 5 0 2
12: 1 3 4 5 2 0
12: 1 3 5 0 2 4
15: 1 3 5 0 4 2
15: 1 3 5 2 0 4
12: 1 3 5 2 4 0
18: 1 3 5 4 0 2
15: 1 3 5 4 2 0
12: 1 4 0 2 3 5
15: 1 4 0 2 5 3
9: 1 4 0 3 2 5
12: 1 4 0 3 5 2
12: 1 4 0 5 2 3
15: 1 4 0 5 3 2
15: 1 4 2 0 3 5
12: 1 4 2 0 5 3
12: 1 4 2 3 0 5
15: 1 4 2 3 5 0
15: 1 4 2 5 0 3
18: 1 4 2 5 3 0
12: 1 4 3 0 2 5
15: 1 4 3 0 5 2
15: 1 4 3 2 0 5
18: 1 4 3 2 5 0
18: 1 4 3 5 0 2
15: 1 4 3 5 2 0
15: 1 4 5 0 2 3
18: 1 4 5 0 3 2
18: 1 4 5 2 0 3
21: 1 4 5 2 3 0
15: 1 4 5 3 0 2
18: 1 4 5 3 2 0
15: 1 5 0 2 3 4
12: 1 5 0 2 4 3
12: 1 5 0 3 2 4
15: 1 5 0 3 4 2
15: 1 5 0 4 2 3
18: 1 5 0 4 3 2
12: 1 5 2 0 3 4
9: 1 5 2 0 4 3
15: 1 5 2 3 0 4
12: 1 5 2 3 4 0
18: 1 5 2 4 0 3
15: 1 5 2 4 3 0
15: 1 5 3 0 2 4
12: 1 5 3 0 4 2
18: 1 5 3 2 0 4
15: 1 5 3 2 4 0
21: 1 5 3 4 0 2
18: 1 5 3 4 2 0
12: 1 5 4 0 2 3
15: 1 5 4 0 3 2
15: 1 5 4 2 0 3
18: 1 5 4 2 3 0
18: 1 5 4 3 0 2
15: 1 5 4 3 2 0
6: 2 0 1 3 4 5
9: 2 0 1 3 5 4
15: 2 0 1 4 3 5
12: 2 0 1 4 5 3
12: 2 0 1 5 3 4
9: 2 0 1 5 4 3
9: 2 0 3 1 4 5
12: 2 0 3 1 5 4
12: 2 0 3 4 1 5
15: 2 0 3 4 5 1
15: 2 0 3 5 1 4
12: 2 0 3 5 4 1
12: 2 0 4 1 3 5
15: 2 0 4 1 5 3
9: 2 0 4 3 1 5
12: 2 0 4 3 5 1
12: 2 0 4 5 1 3
15: 2 0 4 5 3 1
15: 2 0 5 1 3 4
12: 2 0 5 1 4 3
12: 2 0 5 3 1 4
15: 2 0 5 3 4 1
15: 2 0 5 4 1 3
18: 2 0 5 4 3 1
3: 2 1 0 3 4 5
6: 2 1 0 3 5 4
12: 2 1 0 4 3 5
9: 2 1 0 4 5 3
9: 2 1 0 5 3 4
6: 2 1 0 5 4 3
6: 2 1 3 0 4 5
9: 2 1 3 0 5 4
9: 2 1 3 4 0 5
12: 2 1 3 4 5 0
12: 2 1 3 5 0 4
9: 2 1 3 5 4 0
9: 2 1 4 0 3 5
12: 2 1 4 0 5 3
6: 2 1 4 3 0 5
9: 2 1 4 3 5 0
9: 2 1 4 5 0 3
12: 2 1 4 5 3 0
12: 2 1 5 0 3 4
9: 2 1 5 0 4 3
9: 2 1 5 3 0 4
12: 2 1 5 3 4 0
12: 2 1 5 4 0 3
15: 2 1 5 4 3 0
6: 2 3 0 1 4 5
9: 2 3 0 1 5 4
15: 2 3 0 4 1 5
12: 2 3 0 4 5 1
12: 2 3 0 5 1 4
9: 2 3 0 5 4 1
9: 2 3 1 0 4 5
12: 2 3 1 0 5 4
12: 2 3 1 4 0 5
15: 2 3 1 4 5 0
15: 2 3 1 5 0 4
12: 2 3 1 5 4 0
12: 2 3 4 0 1 5
15: 2 3 4 0 5 1
9: 2 3 4 1 0 5
12: 2 3 4 1 5 0
12: 2 3 4 5 0 1
15: 2 3 4 5 1 0
15: 2 3 5 0 1 4
12: 2 3 5 0 4 1
12: 2 3 5 1 0 4
15: 2 3 5 1 4 0
15: 2 3 5 4 0 1
18: 2 3 5 4 1 0
15: 2 4 0 1 3 5
12: 2 4 0 1 5 3
18: 2 4 0 3 1 5
15: 2 4 0 3 5 1
21: 2 4 0 5 1 3
18: 2 4 0 5 3 1
18: 2 4 1 0 3 5
15: 2 4 1 0 5 3
15: 2 4 1 3 0 5
18: 2 4 1 3 5 0
18: 2 4 1 5 0 3
21: 2 4 1 5 3 0
15: 2 4 3 0 1 5
18: 2 4 3 0 5 1
12: 2 4 3 1 0 5
15: 2 4 3 1 5 0
15: 2 4 3 5 0 1
18: 2 4 3 5 1 0
18: 2 4 5 0 1 3
21: 2 4 5 0 3 1
15: 2 4 5 1 0 3
18: 2 4 5 1 3 0
18: 2 4 5 3 0 1
21: 2 4 5 3 1 0
12: 2 5 0 1 3 4
9: 2 5 0 1 4 3
15: 2 5 0 3 1 4
12: 2 5 0 3 4 1
18: 2 5 0 4 1 3
15: 2 5 0 4 3 1
15: 2 5 1 0 3 4
12: 2 5 1 0 4 3
18: 2 5 1 3 0 4
15: 2 5 1 3 4 0
15: 2 5 1 4 0 3
18: 2 5 1 4 3 0
18: 2 5 3 0 1 4
15: 2 5 3 0 4 1
15: 2 5 3 1 0 4
12: 2 5 3 1 4 0
18: 2 5 3 4 0 1
21: 2 5 3 4 1 0
15: 2 5 4 0 1 3
18: 2 5 4 0 3 1
12: 2 5 4 1 0 3
15: 2 5 4 1 3 0
15: 2 5 4 3 0 1
18: 2 5 4 3 1 0
9: 3 0 1 2 4 5
12: 3 0 1 2 5 4
12: 3 0 1 4 2 5
15: 3 0 1 4 5 2
15: 3 0 1 5 2 4
12: 3 0 1 5 4 2
6: 3 0 2 1 4 5
9: 3 0 2 1 5 4
15: 3 0 2 4 1 5
12: 3 0 2 4 5 1
12: 3 0 2 5 1 4
9: 3 0 2 5 4 1
9: 3 0 4 1 2 5
12: 3 0 4 1 5 2
12: 3 0 4 2 1 5
15: 3 0 4 2 5 1
15: 3 0 4 5 1 2
12: 3 0 4 5 2 1
12: 3 0 5 1 2 4
15: 3 0 5 1 4 2
15: 3 0 5 2 1 4
12: 3 0 5 2 4 1
18: 3 0 5 4 1 2
15: 3 0 5 4 2 1
6: 3 1 0 2 4 5
9: 3 1 0 2 5 4
9: 3 1 0 4 2 5
12: 3 1 0 4 5 2
12: 3 1 0 5 2 4
9: 3 1 0 5 4 2
9: 3 1 2 0 4 5
12: 3 1 2 0 5 4
12: 3 1 2 4 0 5
15: 3 1 2 4 5 0
15: 3 1 2 5 0 4
