0: 0 1 2 3 4 5 6
9: 0 1 2 3 4 6 5
3: 0 1 2 3 5 4 6
6: 0 1 2 3 5 6 4
6: 0 1 2 3 6 4 5
3: 0 1 2 3 6 5 4
9: 0 1 2 4 3 5 6
12: 0 1 2 4 3 6 5
6: 0 1 2 4 5 3 6
15: 0 1 2 4 5 6 3
9: 0 1 2 4 6 3 5
12: 0 1 2 4 6 5 3
6: 0 1 2 5 3 4 6
9: 0 1 2 5 3 6 4
3: 0 1 2 5 4 3 6
12: 0 1 2 5 4 6 3
6: 0 1 2 5 6 3 4
9: 0 1 2 5 6 4 3
15: 0 1 2 6 3 4 5
12: 0 1 2 6 3 5 4
12: 0 1 2 6 4 3 5
15: 0 1 2 6 4 5 3
9: 0 1 2 6 5 3 4
18: 0 1 2 6 5 4 3
3: 0 1 3 2 4 5 6
12: 0 1 3 2 4 6 5
6: 0 1 3 2 5 4 6
9: 0 1 3 2 5 6 4
9: 0 1 3 2 6 4 5
6: 0 1 3 2 6 5 4
6: 0 1 3 4 2 5 6
15: 0 1 3 4 2 6 5
9: 0 1 3 4 5 2 6
12: 0 1 3 4 5 6 2
12: 0 1 3 4 6 2 5
9: 0 1 3 4 6 5 2
9: 0 1 3 5 2 4 6
12: 0 1 3 5 2 6 4
6: 0 1 3 5 4 2 6
15: 0 1 3 5 4 6 2
9: 0 1 3 5 6 2 4
12: 0 1 3 5 6 4 2
12: 0 1 3 6 2 4 5
9: 0 1 3 6 2 5 4
15: 0 1 3 6 4 2 5
12: 0 1 3 6 4 5 2
12: 0 1 3 6 5 2 4
15: 0 1 3 6 5 4 2
6: 0 1 4 2 3 5 6
15: 0 1 4 2 3 6 5
9: 0 1 4 2 5 3 6
12: 0 1 4 2 5 6 3
12: 0 1 4 2 6 3 5
9: 0 1 4 2 6 5 3
3: 0 1 4 3 2 5 6
12: 0 1 4 3 2 6 5
6: 0 1 4 3 5 2 6
9: 0 1 4 3 5 6 2
9: 0 1 4 3 6 2 5
6: 0 1 4 3 6 5 2
6: 0 1 4 5 2 3 6
15: 0 1 4 5 2 6 3
9: 0 1 4 5 3 2 6
12: 0 1 4 5 3 6 2
12: 0 1 4 5 6 2 3
9: 0 1 4 5 6 3 2
15: 0 1 4 6 2 3 5
18: 0 1 4 6 2 5 3
18: 0 1 4 6 3 2 5
15: 0 1 4 6 3 5 2
15: 0 1 4 6 5 2 3
12: 0 1 4 6 5 3 2
9: 0 1 5 2 3 4 6
12: 0 1 5 2 3 6 4
6: 0 1 5 2 4 3 6
15: 0 1 5 2 4 6 3
9: 0 1 5 2 6 3 4
12: 0 1 5 2 6 4 3
6: 0 1 5 3 2 4 6
9: 0 1 5 3 2 6 4
9: 0 1 5 3 4 2 6
12: 0 1 5 3 4 6 2
12: 0 1 5 3 6 2 4
9: 0 1 5 3 6 4 2
9: 0 1 5 4 2 3 6
18: 0 1 5 4 2 6 3
12: 0 1 5 4 3 2 6
15: 0 1 5 4 3 6 2
15: 0 1 5 4 6 2 3
12: 0 1 5 4 6 3 2
12: 0 1 5 6 2 3 4
15: 0 1 5 6 2 4 3
15: 0 1 5 6 3 2 4
18: 0 1 5 6 3 4 2
18: 0 1 5 6 4 2 3
15: 0 1 5 6 4 3 2
12: 0 1 6 2 3 4 5
9: 0 1 6 2 3 5 4
15: 0 1 6 2 4 3 5
12: 0 1 6 2 4 5 3
